,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3,primary_date,primary_type,edge1,edge2,edge3,Abbreviation,area_name,state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
1524,New Mexico,Curry County,H. CLINTON,B. SANDERS,,672.0,768.0,,0.467,0.533,,D,D,,06/07/16,Closed primary,0.0496666666667,0.0756666666667,-0.228333333333,NM,Curry County,NM,50969.0,48376.0,5.4,48376.0,8.6,27.0,11.5,48.1,86.1,7.0,2.1,1.7,0.2,2.9,39.7,50.3,79.2,8.2,24.6,81.5,20.4,5584.0,15.0,20788.0,59.7,14.1,119600.0,18027.0,2.67,21259.0,39871.0,18.9,1049.0,12586.0,-2.8,1913.0,2745.0,1.8,0.0,0.0,0.0,0.0,26.4,0.0,171522.0,591302.0,13109.0,68312.0,141.0,1404.8,34.4
1525,New Mexico,De Baca County,H. CLINTON,B. SANDERS,,96.0,114.0,,0.457,0.543,,D,D,,06/07/16,Closed primary,0.0856666666667,0.121666666667,-0.273333333333,NM,De Baca County,NM,1825.0,2022.0,-9.7,2022.0,5.8,21.8,23.8,49.8,93.7,0.4,1.9,0.2,0.0,3.8,40.8,55.6,89.5,4.6,29.2,80.7,17.9,153.0,14.6,1340.0,79.7,4.6,79200.0,689.0,2.83,24879.0,37660.0,23.5,45.0,246.0,-5.4,102.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12426.0,6641.0,0.0,0.0,2322.62,0.9
1526,New Mexico,Dona Ana County,H. CLINTON,B. SANDERS,,9097.0,7243.0,,0.557,0.443,,D,D,,06/07/16,Closed primary,0.163666666667,-0.0183333333333,-0.233333333333,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,New Mexico,Eddy County,H. CLINTON,B. SANDERS,,1606.0,1490.0,,0.519,0.481,,D,D,,06/07/16,Closed primary,0.166666666667,0.0286666666667,-0.274333333333,NM,Eddy County,NM,56395.0,53829.0,4.8,53829.0,7.0,26.3,13.9,49.5,93.1,1.9,2.4,0.8,0.1,1.7,46.4,49.6,86.0,5.0,30.8,80.9,16.7,4448.0,17.8,23407.0,72.9,8.1,110400.0,19866.0,2.69,28438.0,49165.0,12.5,1335.0,21750.0,5.1,2437.0,3498.0,1.2,1.6,0.8,0.0,16.2,28.4,0.0,0.0,562792.0,10980.0,80485.0,336.0,4175.73,12.9
1528,New Mexico,Grant County,H. CLINTON,B. SANDERS,,2272.0,2267.0,,0.501,0.499,,D,D,,06/07/16,Closed primary,0.113666666667,0.0226666666667,-0.234333333333,NM,Grant County,NM,29096.0,29514.0,-1.4,29514.0,5.5,20.8,24.1,50.5,93.4,1.2,2.3,0.8,0.1,2.2,49.6,47.0,87.0,4.5,31.8,83.7,24.2,3003.0,19.9,14651.0,76.9,6.2,125300.0,12216.0,2.36,22755.0,37899.0,20.2,619.0,6921.0,0.9,1495.0,2244.0,0.0,0.0,0.0,0.0,10.2,25.4,0.0,0.0,261444.0,8747.0,35488.0,4.0,3961.63,7.4
1529,New Mexico,Guadalupe County,H. CLINTON,B. SANDERS,,399.0,330.0,,0.547,0.453,,D,D,,06/07/16,Closed primary,0.0926666666667,0.0156666666667,-0.233333333333,NM,Guadalupe County,NM,4468.0,4687.0,-4.7,4687.0,4.9,20.7,17.9,43.4,92.3,2.2,2.8,1.1,0.0,1.6,79.4,16.3,87.5,3.4,53.3,79.4,11.3,403.0,17.8,2387.0,80.2,8.4,88400.0,1260.0,3.14,14198.0,29071.0,17.5,98.0,928.0,-5.9,156.0,286.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,0.0,109941.0,24941.0,16673.0,0.0,3030.48,1.5
1530,New Mexico,Harding County,H. CLINTON,B. SANDERS,,75.0,46.0,,0.62,0.38,,D,D,,06/07/16,Closed primary,0.109666666667,0.0436666666667,-0.234333333333,NM,Harding County,NM,683.0,695.0,-1.7,695.0,4.0,14.8,30.7,47.0,95.9,0.7,1.5,0.7,0.0,1.2,43.0,54.9,88.8,2.0,25.7,89.8,21.4,103.0,21.1,526.0,82.4,1.0,66300.0,261.0,2.63,25686.0,34063.0,16.7,9.0,22.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,1789.0,276.0,0.0,2125.44,0.3
1531,New Mexico,Hidalgo County,H. CLINTON,B. SANDERS,,515.0,323.0,,0.615,0.385,,D,D,,06/07/16,Closed primary,0.0486666666667,0.186666666667,-0.285333333333,NM,Hidalgo County,NM,4560.0,4894.0,-6.8,4894.0,6.5,23.3,19.1,49.4,95.7,1.3,1.2,0.6,0.1,1.1,57.2,40.2,88.7,5.9,37.1,78.0,14.1,338.0,17.3,2384.0,66.4,5.4,76800.0,1837.0,2.57,18392.0,34080.0,24.3,89.0,791.0,-1.7,223.0,310.0,0.0,0.0,0.0,0.0,28.4,0.0,0.0,0.0,113382.0,22609.0,9853.0,0.0,3436.86,1.4
1532,New Mexico,Lea County,H. CLINTON,B. SANDERS,,705.0,651.0,,0.52,0.48,,D,D,,06/07/16,Closed primary,0.235666666667,-0.00733333333333,-0.294333333333,NM,Lea County,NM,69999.0,64727.0,8.1,64727.0,8.6,30.4,10.4,48.5,91.4,4.4,1.9,0.6,0.1,1.6,55.7,38.5,87.4,15.5,41.9,71.3,13.3,3814.0,17.9,25084.0,70.0,11.1,97200.0,21126.0,3.01,22484.0,50694.0,15.0,1708.0,25072.0,6.7,3071.0,4313.0,0.9,1.0,0.0,0.0,0.0,22.4,280360.0,376682.0,765930.0,13217.0,85079.0,276.0,4390.93,14.7
1533,New Mexico,Lincoln County,B. SANDERS,H. CLINTON,,527.0,515.0,,0.506,0.494,,D,D,,06/07/16,Closed primary,0.191666666667,-0.125333333333,-0.169333333333,NM,Lincoln County,NM,19706.0,20497.0,-3.9,20497.0,4.9,18.6,26.3,50.3,93.0,1.0,3.8,0.5,0.2,1.5,31.5,63.7,86.8,6.7,22.6,86.0,23.6,2186.0,19.3,17674.0,78.8,9.4,156300.0,8685.0,2.32,25449.0,43014.0,14.7,698.0,5264.0,0.3,1914.0,3100.0,0.0,0.0,0.0,0.0,16.8,27.3,0.0,0.0,245639.0,11791.0,60207.0,59.0,4831.09,4.2
